store,type,department,date,weekly_sales,is_holiday,temperature_c,fuel_price_usd_per_l,unemployment
0,1,A,1,2010-02-05,24924.50,False,5.728,0.679,8.106
1,1,A,1,2010-03-05,21827.90,False,8.056,0.693,8.106
2,1,A,1,2010-04-02,57258.43,False,16.817,0.718,7.808
3,1,A,1,2010-05-07,17413.94,False,22.528,0.749,7.808
4,1,A,1,2010-06-04,17558.09,False,27.050,0.715,7.808
5,1,A,1,2010-07-02,16333.14,False,27.172,0.705,7.787
6,1,A,1,2010-08-06,17508.41,False,30.644,0.694,7.787
7,1,A,1,2010-09-03,16241.78,False,27.339,0.681,7.787
8,1,A,1,2010-10-01,20094.19,False,22.161,0.688,7.838
9,1,A,1,2010-11-05,34238.88,False,14.856,0.710,7.838
10,1,A,1,2010-12-03,22517.56,False,9.594,0.715,7.838
11,1,A,1,2011-01-07,15984.24,False,9.039,0.786,7.742
12,1,A,2,2010-02-05,50605.27,False,5.728,0.679,8.106
13,1,A,2,2010-03-05,48397.98,False,8.056,0.693,8.106
14,1,A,2,2010-04-02,47450.50,False,16.817,0.718,7.808
15,1,A,2,2010-05-07,47903.01,False,22.528,0.749,7.808
16,1,A,2,2010-06-04,48754.47,False,27.050,0.715,7.808
17,1,A,2,2010-07-02,47077.72,False,27.172,0.705,7.787
18,1,A,2,2010-08-06,50031.73,False,30.644,0.694,7.787
19,1,A,2,2010-09-03,49015.05,False,27.339,0.681,7.787
20,1,A,2,2010-10-01,45829.02,False,22.161,0.688,7.838
21,1,A,2,2010-11-05,46381.43,False,14.856,0.710,7.838
22,1,A,2,2010-12-03,44405.02,False,9.594,0.715,7.838
23,1,A,2,2011-01-07,43202.29,False,9.039,0.786,7.742
24,1,A,3,2010-02-05,13740.12,False,5.728,0.679,8.106
25,1,A,3,2010-03-05,12275.58,False,8.056,0.693,8.106
26,1,A,3,2010-04-02,11157.08,False,16.817,0.718,7.808
27,1,A,3,2010-05-07,9372.80,False,22.528,0.749,7.808
28,1,A,3,2010-06-04,8001.41,False,27.050,0.715,7.808
29,1,A,3,2010-07-02,7857.88,False,27.172,0.705,7.787
30,1,A,3,2010-08-06,26719.02,False,30.644,0.694,7.787
31,1,A,3,2010-09-03,19081.80,False,27.339,0.681,7.787
32,1,A,3,2010-10-01,9775.17,False,22.161,0.688,7.838
33,1,A,3,2010-11-05,9825.22,False,14.856,0.710,7.838
34,1,A,3,2010-12-03,10856.85,False,9.594,0.715,7.838
35,1,A,3,2011-01-07,15808.15,False,9.039,0.786,7.742
36,1,A,4,2010-02-05,39954.04,False,5.728,0.679,8.106
37,1,A,4,2010-03-05,38086.19,False,8.056,0.693,8.106
38,1,A,4,2010-04-02,37809.49,False,16.817,0.718,7.808
39,1,A,4,2010-05-07,37168.34,False,22.528,0.749,7.808
40,1,A,4,2010-06-04,40548.19,False,27.050,0.715,7.808
41,1,A,4,2010-07-02,39773.71,False,27.172,0.705,7.787
42,1,A,4,2010-08-06,40973.88,False,30.644,0.694,7.787
43,1,A,4,2010-09-03,38321.88,False,27.339,0.681,7.787
44,1,A,4,2010-10-01,34912.45,False,22.161,0.688,7.838
45,1,A,4,2010-11-05,37980.55,False,14.856,0.710,7.838
46,1,A,4,2010-12-03,37110.55,False,9.594,0.715,7.838
47,1,A,4,2011-01-07,37947.80,False,9.039,0.786,7.742
48,1,A,5,2010-02-05,32229.38,False,5.728,0.679,8.106
49,1,A,5,2010-03-05,23082.14,False,8.056,0.693,8.106
50,1,A,5,2010-04-02,29967.92,False,16.817,0.718,7.808
51,1,A,5,2010-05-07,19260.44,False,22.528,0.749,7.808
52,1,A,5,2010-06-04,22932.26,False,27.050,0.715,7.808
53,1,A,5,2010-07-02,18887.71,False,27.172,0.705,7.787
54,1,A,5,2010-08-06,16926.17,False,30.644,0.694,7.787
55,1,A,5,2010-09-03,15390.52,False,27.339,0.681,7.787
56,1,A,5,2010-10-01,23381.38,False,22.161,0.688,7.838
57,1,A,5,2010-11-05,23903.81,False,14.856,0.710,7.838
58,1,A,5,2010-12-03,36472.02,False,9.594,0.715,7.838
59,1,A,5,2011-01-07,22699.69,False,9.039,0.786,7.742
60,1,A,6,2010-02-05,5749.03,False,5.728,0.679,8.106
61,1,A,6,2010-03-05,4221.25,False,8.056,0.693,8.106
62,1,A,6,2010-04-02,4132.61,False,16.817,0.718,7.808
63,1,A,6,2010-05-07,7477.70,False,22.528,0.749,7.808
64,1,A,6,2010-06-04,5484.90,False,27.050,0.715,7.808
